Run,Average Risk,Compromised Ratio,Protected Nodes
1,0.791,0.92,0.0
2,0.843,0.98,0.0
3,0.797,1.0,0.0
4,0.836,1.0,0.0
5,0.779,0.98,0.0
6,0.785,0.98,0.0
7,0.806,1.0,0.0
8,0.832,1.0,0.0
9,0.835,1.0,0.0
10,0.859,0.98,0.0
