Round,Average Risk,Compromised Ratio,Protected Nodes,New Infections,Recovered Nodes
100,0.683,0.52,10,10,13
100,0.658,0.54,11,4,2
100,0.637,0.54,7,2,1
100,0.617,0.56,7,4,2
100,0.602,0.58,5,1,0
100,0.579,0.62,7,6,3
100,0.555,0.62,11,7,5
100,0.54,0.62,9,3,1
100,0.526,0.64,11,3,2
100,0.521,0.64,11,1,1
100,0.516,0.64,9,1,0
100,0.514,0.64,7,1,1
100,0.513,0.64,6,3,2
100,0.512,0.64,7,3,3
100,0.514,0.64,7,3,1
