Round,Average Risk,Compromised Ratio,Protected Nodes,New Infections,Recovered Nodes
100,0.76,0.62,10,10,12
100,0.722,0.58,12,3,4
100,0.707,0.64,8,3,0
100,0.686,0.66,8,3,2
100,0.663,0.62,10,2,3
100,0.648,0.62,9,0,0
100,0.632,0.62,8,4,1
100,0.617,0.62,9,2,2
100,0.607,0.62,7,0,0
100,0.595,0.62,8,5,2
100,0.588,0.62,6,3,0
100,0.585,0.62,5,0,0
100,0.584,0.62,6,4,2
100,0.583,0.62,9,5,3
100,0.585,0.62,8,1,0
